Ex	Ey
1039690.309876135	4605.340748870636
539787.5995585172	4596.742349301455
235544.25613689693	4582.8412191278085
130830.78942824922	4566.709679845619
85319.17177382194	4550.492080122379
53628.1889478805	4527.414696448372
42025.39747814097	4510.094933853734
36429.89603407401	4500.7882189628435
28997.24635142655	4483.687880900751
25047.179517997534	4470.62062397802
21468.449012838253	4460.273135279162
20032.32348749567	4452.330246766215
19535.893268809737	4451.694099212826
17857.097025796105	4443.372937162442
17886.110661778133	4443.7495723313
16614.53965545018	4438.430878242046
16217.24398220636	4439.323699786128
15783.727133313221	4435.578190636428
15665.570165549672	4436.422391075369
15670.98135005228	4437.73053968429
15799.59029193343	4438.88456498478
16096.827863456958	4440.426447865765
16064.117118316995	4440.240638923453
16043.316485436226	4439.555152185983
16160.349203870262	4439.173405531508
16325.90382482635	4444.095802637594
16381.914608618124	4442.658720353666
16308.840289806298	4440.5632198724425
16149.97456168693	4443.287214580569
16028.090402224	4440.238527549235
16066.0623776506	4443.635954633926
15969.862015117224	4439.996558074424
15789.201730877883	4442.58049033304
15553.83339566375	4437.987616939972
15383.07149501597	4440.295882670429
15189.806259181525	4442.418275662122
15143.62814448077	4437.719671706066
15128.004090181366	4440.672093182214
15003.160839069811	4434.730646775958
14964.78816416388	4437.435711787766
14850.021283302238	4439.564668329169
14859.042137353974	4442.3832281842915
14896.164736513723	4436.359130340512
14922.81319645589	4438.890757763436
14907.311146444674	4441.1558979106
14879.826864209708	4443.260216638158
14845.99478722086	4436.101023176877
14746.67480388366	4437.810339770874
14793.817779367038	4440.338573488348
14780.822800113998	4442.7335242380705
14676.79927962192	4444.137990917464
14636.606869102741	4435.881716374926
14595.886742776369	4437.79186510061
14497.261786948135	4439.134909420548
14490.2521048316	4440.876996703696
14466.213654646197	4442.921167449528
14505.198676159533	4445.04613166728
14465.020065600522	4435.017265267872
14341.072692530472	4436.338931458274
14295.491288892146	4437.837308998293
14395.285582857046	4440.269490880017
14439.047537769711	4442.022189708426
14427.824827628865	4443.869064419768
14287.410087798678	4444.697940595282
14297.809017181935	4446.622059050158
14322.121752421928	4435.198857382861
14311.491548852695	4436.895970340637
14269.464571774824	4438.12471386652
14096.486429866778	4439.12078947792
14052.335517864829	4440.70280769269
14143.35126445829	4442.461278628203
14128.545074002195	4444.101732949682
13994.573816974025	4445.071716057727
13962.146257398223	4446.1427187614545
14049.790276127018	4448.070582741003
13930.427422223749	4433.7354502596
13852.763420512081	4434.965124698346
13699.879091517938	4435.826199665197
13643.324171360282	4436.692111243043
13717.671987022095	4438.597997761106
13680.790227466709	4439.879409712418
13625.453077855424	4441.157448780402
13440.443921178148	4441.385725205637
13397.462263602969	4442.742604336202
13477.09504377324	4444.551103925658
13469.06251163938	4445.478419528156
13483.148941471689	4446.846770739835
13318.242054251345	4447.310579791522
13403.908761949822	4449.100043752385
13307.591715774948	4431.694219706643
13291.093066335075	4432.983333598131
13130.411704622958	4433.574674036337
13106.702781788365	4434.77914270351
13250.75546228025	4436.679999248219
13211.795205677528	4437.3793165178995
13176.806798175761	4438.544056377798
13005.488661154586	4439.031549328609
12973.450884263431	4440.159194481307
